datetime,node_id,tag_id,tag_rssi,tag_volt
2026/01/30 09:50:41.764,729,0081f986054d,-85,2.79
2026/01/30 09:50:44.866,203,0081f986054d,-83,2.79
2026/01/30 09:51:05.037,696,0081f986054d,-89,2.65
2026/01/30 09:51:05.299,695,0081f986054d,-61,2.65
2026/01/30 09:51:09.901,692,0081f986054d,-90,2.56
2026/01/30 09:51:15.089,728,0081f986054d,-85,2.83
2026/01/30 09:51:17.048,697,0081f986054d,-67,2.83
2026/01/30 09:51:20.168,691,0081f986054d,-72,2.83
2026/01/30 09:51:23.488,202,0081f986054d,-66,2.83
2026/01/30 09:51:24.525,698,0081f986054d,-74,2.83
2026/01/30 09:51:26.858,205,0081f986054d,-74,2.6
2026/01/30 09:51:27.810,700,0081f986054d,-82,2.83
2026/01/30 09:51:28.082,201,0081f986054d,-89,2.83
2026/01/30 09:52:00.999,730,0081f986054d,-81,2.79
2026/01/30 09:52:04.864,729,0081f986054d,-83,2.79
2026/01/30 09:52:08.102,203,0081f986054d,-77,2.79
2026/01/30 09:52:14.219,204,0081f986054d,-81,2.79
2026/01/30 09:52:26.044,696,0081f986054d,-76,2.79
2026/01/30 09:52:27.734,695,0081f986054d,-59,2.79
2026/01/30 09:52:35.083,728,0081f986054d,-90,2.79
2026/01/30 09:52:38.659,697,0081f986054d,-73,2.79
2026/01/30 09:52:41.864,691,0081f986054d,-74,2.83
2026/01/30 09:52:45.125,202,0081f986054d,-79,2.79
2026/01/30 09:52:47.090,698,0081f986054d,-81,2.83
2026/01/30 09:52:48.923,205,0081f986054d,-81,2.83
2026/01/30 09:53:23.991,730,0081f986054d,-75,2.79
2026/01/30 09:53:27.947,729,0081f986054d,-81,2.79
2026/01/30 09:53:31.347,203,0081f986054d,-77,2.79
2026/01/30 09:53:35.055,204,0081f986054d,-80,2.79
2026/01/30 09:53:47.282,696,0081f986054d,-76,2.79
2026/01/30 09:53:49.898,695,0081f986054d,-62,2.79
2026/01/30 09:54:00.085,697,0081f986054d,-75,2.79
2026/01/30 09:54:03.184,691,0081f986054d,-74,2.79
2026/01/30 09:54:06.229,202,0081f986054d,-74,2.79
2026/01/30 09:54:09.543,698,0081f986054d,-84,2.79
2026/01/30 09:54:10.799,205,0081f986054d,-82,2.79
2026/01/30 09:54:50.049,699,0081f986054d,-77,2.83
2026/01/30 09:54:53.041,729,0081f986054d,-93,2.83
2026/01/30 09:55:08.170,696,0081f986054d,-72,2.83
2026/01/30 09:55:12.369,695,0081f986054d,-68,2.79
2026/01/30 09:55:15.209,728,0081f986054d,-88,2.79
2026/01/30 09:55:21.463,697,0081f986054d,-79,2.79
2026/01/30 09:55:24.080,691,0081f986054d,-83,2.79
2026/01/30 09:55:27.459,202,0081f986054d,-74,2.79
2026/01/30 09:56:09.654,730,0081f986054d,-73,2.83
2026/01/30 09:56:11.228,699,0081f986054d,-76,2.83
2026/01/30 09:56:14.688,203,0081f986054d,-79,2.79
2026/01/30 09:56:16.675,204,0081f986054d,-84,2.79
2026/01/30 09:56:28.841,696,0081f986054d,-83,2.79
2026/01/30 09:56:34.732,695,0081f986054d,-67,2.83
2026/01/30 09:56:42.130,697,0081f986054d,-73,2.83
2026/01/30 09:56:44.954,691,0081f986054d,-75,2.83
2026/01/30 09:56:47.926,202,0081f986054d,-74,2.83
2026/01/30 09:56:51.603,205,0081f986054d,-85,2.83
2026/01/30 09:56:53.911,698,0081f986054d,-88,2.83
2026/01/30 09:57:31.884,699,0081f986054d,-77,2.74
2026/01/30 09:57:32.404,730,0081f986054d,-87,2.74
2026/01/30 09:57:36.027,203,0081f986054d,-80,2.74
2026/01/30 09:57:37.103,204,0081f986054d,-80,2.74
2026/01/30 09:57:40.829,729,0081f986054d,-87,2.74
2026/01/30 09:57:49.682,696,0081f986054d,-83,2.79
2026/01/30 09:57:55.116,728,0081f986054d,-88,2.79
2026/01/30 09:57:56.883,695,0081f986054d,-73,2.79
2026/01/30 09:58:03.253,697,0081f986054d,-79,2.79
2026/01/30 09:58:06.067,691,0081f986054d,-74,2.79
2026/01/30 09:58:09.947,202,0081f986054d,-73,2.79
2026/01/30 09:58:13.045,205,0081f986054d,-86,2.79
2026/01/30 09:58:15.837,700,0081f986054d,-89,2.79
2026/01/30 09:58:53.147,699,0081f986054d,-79,2.79
2026/01/30 09:58:54.936,730,0081f986054d,-71,2.79
2026/01/30 09:58:57.349,203,0081f986054d,-80,2.79
2026/01/30 09:58:57.981,204,0081f986054d,-79,2.79
2026/01/30 09:59:03.646,729,0081f986054d,-80,2.74
2026/01/30 09:59:10.542,696,0081f986054d,-82,2.74
2026/01/30 09:59:15.499,728,0081f986054d,-91,2.79
2026/01/30 09:59:19.121,695,0081f986054d,-67,2.79
2026/01/30 09:59:24.042,697,0081f986054d,-75,2.74
2026/01/30 09:59:31.046,202,0081f986054d,-81,2.79
2026/01/30 09:59:34.497,205,0081f986054d,-84,2.79
2026/01/30 09:59:37.745,700,0081f986054d,-86,2.79
2026/01/30 09:59:38.402,698,0081f986054d,-86,2.79
2026/01/30 10:00:13.395,699,0081f986054d,-82,2.79
2026/01/30 10:00:17.183,730,0081f986054d,-72,2.79
2026/01/30 10:00:18.296,203,0081f986054d,-80,2.79
2026/01/30 10:00:20.833,204,0081f986054d,-81,2.79
2026/01/30 10:00:26.252,729,0081f986054d,-83,2.79
2026/01/30 10:00:30.875,696,0081f986054d,-75,2.79
2026/01/30 10:00:35.756,728,0081f986054d,-86,2.79
2026/01/30 10:00:40.944,695,0081f986054d,-69,2.79
2026/01/30 10:00:45.216,697,0081f986054d,-84,2.79
2026/01/30 10:00:48.045,691,0081f986054d,-79,2.79
2026/01/30 10:00:51.991,202,0081f986054d,-72,2.74
2026/01/30 10:00:55.117,205,0081f986054d,-86,2.74
2026/01/30 10:00:59.290,700,0081f986054d,-88,2.74
2026/01/30 10:01:00.570,698,0081f986054d,-86,2.79
2026/01/30 10:01:34.378,699,0081f986054d,-85,2.74
2026/01/30 10:01:39.174,203,0081f986054d,-82,2.74
2026/01/30 10:01:39.849,730,0081f986054d,-73,2.74
2026/01/30 10:01:43.382,204,0081f986054d,-80,2.74
2026/01/30 10:01:48.921,729,0081f986054d,-75,2.74
2026/01/30 10:01:51.683,696,0081f986054d,-73,2.74
2026/01/30 10:01:56.083,728,0081f986054d,-89,2.74
2026/01/30 10:02:03.121,695,0081f986054d,-70,2.7
2026/01/30 10:02:06.320,697,0081f986054d,-77,2.7
2026/01/30 10:02:08.379,691,0081f986054d,-88,2.7
2026/01/30 10:02:12.521,202,0081f986054d,-78,2.7
2026/01/30 10:02:15.425,205,0081f986054d,-84,2.7
2026/01/30 10:02:21.149,700,0081f986054d,-86,2.7
2026/01/30 10:02:22.821,698,0081f986054d,-77,2.7
2026/01/30 10:02:54.803,699,0081f986054d,-87,2.79
2026/01/30 10:03:00.235,203,0081f986054d,-81,2.74
2026/01/30 10:03:02.089,730,0081f986054d,-78,2.74
2026/01/30 10:03:04.965,204,0081f986054d,-81,2.74
2026/01/30 10:03:11.205,729,0081f986054d,-88,2.74
2026/01/30 10:03:12.162,696,0081f986054d,-76,2.74
2026/01/30 10:03:16.389,728,0081f986054d,-89,2.74
2026/01/30 10:03:24.978,695,0081f986054d,-68,2.74
2026/01/30 10:03:29.060,691,0081f986054d,-89,2.74
2026/01/30 10:03:33.079,202,0081f986054d,-75,2.74
2026/01/30 10:03:35.705,205,0081f986054d,-81,2.74
2026/01/30 10:03:42.462,700,0081f986054d,-85,2.74
2026/01/30 10:03:44.655,698,0081f986054d,-81,2.74
2026/01/30 10:04:15.405,699,0081f986054d,-84,2.74
2026/01/30 10:04:18.791,692,0081f986054d,-92,2.74
2026/01/30 10:04:20.889,203,0081f986054d,-78,2.74
2026/01/30 10:04:24.425,730,0081f986054d,-68,2.74
2026/01/30 10:04:32.823,696,0081f986054d,-78,2.79
2026/01/30 10:04:33.327,729,0081f986054d,-81,2.79
2026/01/30 10:04:36.262,728,0081f986054d,-86,2.79
2026/01/30 10:04:46.865,695,0081f986054d,-64,2.74
2026/01/30 10:04:47.588,697,0081f986054d,-78,2.74
2026/01/30 10:04:49.881,691,0081f986054d,-80,2.74
2026/01/30 10:04:53.740,202,0081f986054d,-81,2.79
2026/01/30 10:04:56.404,205,0081f986054d,-85,2.74
2026/01/30 10:05:06.599,698,0081f986054d,-74,2.79
2026/01/30 10:05:35.984,699,0081f986054d,-79,2.7
2026/01/30 10:05:37.922,692,0081f986054d,-88,2.7
2026/01/30 10:05:42.071,203,0081f986054d,-88,2.7
2026/01/30 10:05:46.842,730,0081f986054d,-86,2.74
2026/01/30 10:05:53.390,696,0081f986054d,-84,2.79
2026/01/30 10:05:55.906,729,0081f986054d,-80,2.79
2026/01/30 10:05:56.484,728,0081f986054d,-87,2.79
2026/01/30 10:06:08.448,697,0081f986054d,-70,2.79
2026/01/30 10:06:08.916,695,0081f986054d,-62,2.79
2026/01/30 10:06:10.885,691,0081f986054d,-73,2.74
2026/01/30 10:06:14.144,202,0081f986054d,-82,2.74
2026/01/30 10:06:17.032,205,0081f986054d,-81,2.74
2026/01/30 10:06:25.264,700,0081f986054d,-90,2.79
2026/01/30 10:06:28.428,698,0081f986054d,-79,2.79
2026/01/30 10:06:56.491,699,0081f986054d,-83,2.79
2026/01/30 10:07:02.981,203,0081f986054d,-81,2.79
2026/01/30 10:07:09.120,730,0081f986054d,-75,2.74
2026/01/30 10:07:12.048,204,0081f986054d,-86,2.74
2026/01/30 10:07:13.855,696,0081f986054d,-79,2.74
2026/01/30 10:07:16.488,728,0081f986054d,-90,2.74
2026/01/30 10:07:18.416,729,0081f986054d,-78,2.74
2026/01/30 10:07:29.087,697,0081f986054d,-70,2.79
2026/01/30 10:07:31.068,695,0081f986054d,-62,2.79
2026/01/30 10:07:31.509,691,0081f986054d,-74,2.79
2026/01/30 10:07:34.563,202,0081f986054d,-75,2.79
2026/01/30 10:07:37.389,205,0081f986054d,-80,2.79
2026/01/30 10:07:50.206,698,0081f986054d,-73,2.79
2026/01/30 10:08:15.894,692,0081f986054d,-87,2.74
2026/01/30 10:08:17.004,699,0081f986054d,-77,2.74
2026/01/30 10:08:23.841,203,0081f986054d,-87,2.74
2026/01/30 10:08:31.021,730,0081f986054d,-69,2.79
2026/01/30 10:08:34.128,696,0081f986054d,-78,2.79
2026/01/30 10:08:36.505,728,0081f986054d,-86,2.79
2026/01/30 10:08:40.624,729,0081f986054d,-82,2.74
2026/01/30 10:08:49.972,697,0081f986054d,-85,2.74
2026/01/30 10:08:52.353,691,0081f986054d,-85,2.74
2026/01/30 10:08:53.126,695,0081f986054d,-68,2.74
2026/01/30 10:08:55.265,202,0081f986054d,-73,2.79
2026/01/30 10:08:57.970,205,0081f986054d,-83,2.79
2026/01/30 10:09:12.227,698,0081f986054d,-89,2.74
